week_start,week_end,net_fare,promotions,other,tips,total_earnings,online_hours,trips,points
2025-09-01,2025-09-07,154.12,0,0,108.43,262.55,23.55,38,88
2025-09-08,2025-09-14,222.0,19.5,0,152.45,393.95,33.35,55,170
2025-09-15,2025-09-21,466.15,40.5,0,244.93,751.58,57.55,112,399
2025-09-22,2025-09-28,233.01,52.0,0,231.58,516.59,24.9,68,271
2025-09-29,2025-10-05,98.07,36.0,0.9,109.99,244.96,12.37,30,60
2025-10-06,2025-10-12,0,0,0,0,0,0,0,0
2025-10-13,2025-10-19,0,0,0,0,0,0,0,0
2025-10-20,2025-10-26,61.8,18.0,0,32.26,112.06,5.57,15,65
2025-10-27,2025-11-02,201.11,91.5,0,123.57,416.18,18.88,55,170
2025-11-03,2025-11-09,284.23,255.0,0,255.92,795.15,29.95,98,289
2025-11-10,2025-11-16,193.15,96.5,0,307.75,597.4,23.22,68,235
2025-11-17,2025-11-23,29.75,22.5,0,26.92,79.17,3.48,10,60
2025-11-24,2025-11-30,214.45,115.0,0,108.15,437.6,15.68,50,105
2025-12-01,2025-12-07,147.26,91.5,0,117.04,355.8,15.97,52,90
2025-12-08,2025-12-14,143.89,79.5,0,111.81,335.2,15.25,41,116
2025-12-15,2025-12-21,273.43,242.0,0,147.13,662.56,24.82,83,273
2025-12-22,2025-12-28,32.14,6.0,0,27.82,65.96,4.75,12,57
2025-12-29,2026-01-04,94.56,100.5,0,76.25,271.31,11.02,36,91
2026-01-05,2026-01-11,134.59,117.5,0,92.35,344.44,16.88,49,134
2026-01-12,2026-01-18,78.12,98.5,0,79.67,256.29,9.92,31,109
2026-01-19,2026-01-25,99.2,110.0,0,65.02,274.22,11.92,38,103
2026-01-26,2026-02-01,24.22,18.0,0,21.02,63.24,2.87,9,54
2026-02-02,2026-02-08,0,0,0,0,0,0,0,0
2026-02-09,2026-02-15,0,0,0,0,0,0,0,0
2026-02-16,2026-02-22,139.28,304.5,0,86.92,530.7,9.97,36,154
2026-02-23,2026-03-01,38.47,144.0,0,39.09,221.56,3.32,13,38
2026-03-02,2026-03-08,4.58,0,0,8.17,12.75,0.63,2,12
2026-03-09,2026-03-15,0,0,0,0,0,0,0,0
2026-03-16,2026-03-22,0,0,0,0,0,0,0,0
2026-03-23,2026-03-29,0,0,0,0,0,0,0,0
2026-03-30,2026-04-05,0,0,0,0,0,0,0,0
2026-04-06,2026-04-12,0,0,0,0,0,0,0,0
2026-04-13,2026-04-19,12.65,0,0,5.0,17.65,1.35,4,4
2026-04-20,2026-04-26,0,0,0,0,0,0,0,0
2026-04-27,2026-05-03,0,0,0,0,0,0,0,0
2026-05-04,2026-05-10,0,0,0,0,0,0,0,0
2026-05-11,2026-05-17,0,0,0,0,0,0,0,0
2026-05-18,2026-05-24,0,0,0,0,0,0,0,0
2026-05-25,2026-05-31,0,0,0,0,0,0,0,0
2026-06-01,2026-06-07,0,0,0,0,0,0,0,0
2026-06-08,2026-06-14,76.44,200.0,0,40.48,316.92,6.52,26,26
